Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,6/25/2023 1:25,1:03:41,,The Walking Dead: Season 8: How It's Gotta Be (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,1:01:55,1:01:55,KE (Kenya)
Insurgent Teen,6/25/2023 0:41,0:43:59,,The Walking Dead: Season 8: Time for After (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,0:43:37,0:43:37,KE (Kenya)
Insurgent Teen,6/24/2023 23:54,0:44:53,,"The Walking Dead: Season 8: The King, The Widow, and Rick (Episode 6)",,Netflix Windows App - Cadmium Windows Mobile,0:44:57,0:44:57,KE (Kenya)
Insurgent Teen,6/24/2023 22:38,0:52:11,,The Walking Dead: Season 8: The Big Scary U (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,0:51:23,0:51:23,KE (Kenya)
Insurgent Teen,6/24/2023 21:57,0:41:20,,The Walking Dead: Season 8: Some Guy (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,0:41:20,0:41:20,KE (Kenya)
Insurgent Teen,6/24/2023 21:45,0:02:17,,The Walking Dead: Season 8: Monsters (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:40:37,0:40:37,KE (Kenya)
Insurgent Teen,6/24/2023 20:31,0:18:31,,The Walking Dead: Season 8: Monsters (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:38:36,Not latest view,KE (Kenya)
Insurgent Teen,6/24/2023 20:30,0:01:00,Autoplayed: user action: None; ,Family Camp_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,6/24/2023 0:01,0:20:48,Autoplayed: user action: None; ,The Walking Dead: Season 8: Monsters (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:20:07,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 22:51,0:42:19,,The Walking Dead: Season 8: The Damned (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:41:24,0:41:24,KE (Kenya)
Insurgent Teen,6/23/2023 22:00,0:47:41,,The Walking Dead: Season 8: Mercy (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:46:39,0:46:39,KE (Kenya)
Insurgent Teen,6/23/2023 20:43,1:01:01,,The Walking Dead: Season 7: The First Day of the Rest of Your Life (Episode 16),,Netflix Windows App - Cadmium Windows Mobile,0:59:35,0:59:35,KE (Kenya)
Insurgent Teen,6/23/2023 20:09,0:25:54,,The Walking Dead: Season 7: Something They Need (Episode 15),,Netflix Windows App - Cadmium Windows Mobile,0:42:39,0:42:39,KE (Kenya)
Insurgent Teen,6/23/2023 19:21,0:02:53,,The Walking Dead: Season 7: Something They Need (Episode 15),,Netflix Windows App - Cadmium Windows Mobile,0:16:49,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 17:20,0:13:57,,The Walking Dead: Season 7: Something They Need (Episode 15),,Netflix Windows App - Cadmium Windows Mobile,0:13:57,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 17:11,0:08:21,,The Walking Dead: Season 7: The Other Side (Episode 14),,Netflix Windows App - Cadmium Windows Mobile,0:46:28,0:46:28,KE (Kenya)
Insurgent Teen,6/23/2023 15:48,0:07:48,,The Walking Dead: Season 7: The Other Side (Episode 14),,Netflix Windows App - Cadmium Windows Mobile,0:38:09,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 14:09,0:30:25,,The Walking Dead: Season 7: The Other Side (Episode 14),,Netflix Windows App - Cadmium Windows Mobile,0:30:25,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 12:44,0:46:59,,The Walking Dead: Season 7: Bury Me Here (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,0:46:29,0:46:29,KE (Kenya)
Insurgent Teen,6/23/2023 11:55,0:07:00,,The Walking Dead: Season 7: Bury Me Here (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,0:07:00,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 11:53,0:02:30,,The Walking Dead: Season 7: Say Yes (Episode 12),,Netflix Windows App - Cadmium Windows Mobile,0:42:28,0:42:28,KE (Kenya)
Insurgent Teen,6/23/2023 9:50,0:02:06,Autoplayed: user action: None; ,Trailer: Through My Window: Across the Sea,TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,6/23/2023 8:28,0:39:30,,The Walking Dead: Season 7: Say Yes (Episode 12),,Netflix Windows App - Cadmium Windows Mobile,0:40:00,Not latest view,KE (Kenya)
Insurgent Teen,6/23/2023 7:45,0:33:25,,The Walking Dead: Season 7: Hostiles and Calamities (Episode 11),,Netflix Windows App - Cadmium Windows Mobile,0:48:18,0:48:18,KE (Kenya)
